Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,xgb_importances,rf_importances,average_weight,indicator
0.011485364442854059,0.9901373676082837,0.10185635046228869,0.018100516961877266,0.05957360525920459,0.0018761792,0.005908380780870307,0.16984825210866847,lacking_canopy_z
0.3845731130592205,0.13454627396459032,0.2888254559701366,0.1762221157922938,0.16443863059104855,0.015158037,0.018265484887875726,0.16886130156984264,pop_density_z
0.014837491687529167,-0.1410290201526815,0.0005279040397374411,0.02594127492353643,0.054082107138374025,0.0017759146,0.0038803653954187617,-0.0057119946282527196,65plus_z
0.055615926578555665,0.2418467006795238,0.28510395081476325,0.1279040521771029,0.0952137950079036,0.0073610963,0.012177697208944458,0.11788903125668296,total_pop_z
0.6453204106691938,0.022181709596851173,0.08295838347693352,-0.23836764247881329,0.7012129053316476,0.0038902443,0.006842358681501192,0.17486262422393523,homeowners_core_z
0.906008336812075,-0.07150050519124225,0.35954625334193163,-0.02038662188093245,0.07081667484245553,0.05149675,0.08409978500974984,0.1971543820772145,total_core_z
0.8579675431211704,-0.09085999549865416,0.39530633705669255,0.051577796862798585,-0.13901214929212669,0.082592055,0.048994192339489116,0.1723665399701286,tennants_core_z
-0.004049704310374421,0.19836794212341258,0.24442993171116187,0.4630746476348011,0.7945235789594765,0.0020714696,0.005571266071795001,0.24342701882097328,owners_30pct_shelter_z
0.4062384234216351,-0.007828615344308506,0.8722516509311345,0.09690694857547912,0.24614408385154538,0.02715524,0.048680987739300054,0.2413641026156875,total_30pct_shelter_z
0.453879605926088,-0.09394924896109025,0.8657794910609916,-0.09112052399439548,-0.06744022281420683,0.0045960383,0.025683792882449815,0.15677556176509677,tennants_30pct_shelter_z
0.5810265946668275,-0.08595189051840997,0.08657719008970725,0.022662713260109463,-0.1303287180601194,0.015782345,0.009657650844430014,0.0713465550526973,tennants_subsidized_z
0.7464133506138301,-0.17454655281118128,0.15405093241163043,0.4503898624485389,0.12824068166293412,0.15359193,0.05647573809046314,0.21637370618320814,low_income_measure_z
0.6402140683693213,-0.2810509655435556,0.18178048458071905,0.4725287817388357,0.1314395712487352,0.025720323,0.02559501865686196,0.1708896116507939,low_income_cutoff_z
0.17940549086781615,-0.5244032432598478,0.1255393715356129,0.010681817257593412,-0.09142182260981846,0.00034495888,0.0026604494382522353,-0.042456139698064076,housing_1960_z
0.47144264133211233,-0.15555298168410256,-0.16037301559706976,0.03912465130688408,-0.14169307147465077,0.0006332789,0.006647416424689095,0.008604131318244562,housing_1961_80_z
0.6220331318138775,-0.14314008055089764,0.2050002671016825,0.16338499471044693,0.12884328518215288,0.039020173,0.017127772385714016,0.1474670776992293,new_lim_65plus_z
0.19518883824675795,-0.0172721011171178,0.023913275231416606,0.24207023883938858,0.10610582115865136,0.0018981214,0.0021214266763871087,0.07914651721049615,new_lico_65plus_z
-0.27688082484332127,0.4958102162261218,-0.04016119256417083,-0.16067554215949365,-0.15445277978041544,0.0007520565,0.0030514127151278474,-0.018936664846138884,prop_children_z
0.03761252825863472,-0.437058094472991,0.11674234623351996,0.15586291307419706,-0.08032211187279353,0.0049842717,0.005138926739599867,-0.02814846004674739,gini_index_z
0.5858757154325493,0.11356774626345596,0.03831516415008301,0.04158813572098394,0.006738590014802986,0.0004717296,0.009424725257065029,0.1137116866356459,single_parent_z
0.7096254020945019,-0.19536534573177716,0.1540583557585116,0.5329657094232744,0.1423282712136553,0.10525334,0.06764599199085394,0.2166445319375431,bottom_decile_z
0.7333492438826701,0.11278800587546821,0.1963992489908586,0.35040130582387086,0.2520225744428756,0.13280147,0.19399041588523708,0.2816788954345281,bottom_half_z
0.7150223956656607,0.005974211499557577,0.23007196626848125,0.18911533268673114,0.22596289155419147,0.10882423,0.08544694711132646,0.22291685364521172,second_decile_z
0.505723281208433,-0.3138352155283115,0.12523712196113426,0.2076624220410814,0.18736228240534433,0.0004783637,0.003926873232492698,0.10236501843321322,living_alone_z
0.5901800643192151,0.1819174416963666,0.10428047963873588,0.0828442139657794,0.0708540078628507,0.023582876,0.013817748156492095,0.15249669019543527,less_than_hs_z
0.08253771831632711,-0.03082885283649907,-0.02849629638612719,0.3055984137618024,-0.03052316977195417,0.0105761085,0.004837680937751913,0.044814514641694295,non_perm_resident_z
0.1535572216819734,0.33295574718747933,0.026501504501315297,0.37067472872343726,0.09395282084401721,0.0031342818,0.01223056458059883,0.1418581241941424,non_citizens_z
0.3738653338741507,0.3444944336143579,0.14059100912311934,0.3309304614566474,0.12252914090496617,0.009220439,0.011286155389783345,0.1904167104817705,unsuitable_housing_z
0.6639153826099659,-0.2248386926532495,0.14643061345622901,0.5077804720713809,0.10221674893862762,0.04022549,0.043990106760502974,0.1828171603015933,lico_aftertax_total_z
0.8083383078858405,-0.1264237506706244,0.14698812710679404,0.3991252671198375,0.08246167607568353,0.08036657,0.10086069803487373,0.21310241318994774,lim_aftertax_total_z
0.6007999499007539,-0.2191027193948683,0.14683679571766908,0.4202173109262446,0.08630850545638127,0.022080684,0.03333757243951783,0.15578258558948832,renters_z
-0.12139911625086584,0.6159806153736467,0.11416500870869548,0.20089190605667892,0.09267861057467239,0.008249849,0.009695074646709583,0.13146599259865382,visible_minority_z
0.49197589273165143,-0.030989192900252295,0.06438586961885805,0.26586105515207664,0.11994731227836798,0.0064457525,0.007925370336222646,0.1322217228105298,unemployed_z
0.37354088868768714,0.47099152227951957,0.293655575135292,-0.101672573952716,0.03356844655403821,0.0052610226,0.008971601468628007,0.15490235468142863,temperature_z
0.011485364452631808,0.9901373676036983,0.10185635049441259,0.01810051694787874,0.05957360525466615,0.0023274557,0.004032350803024404,0.16964471588995408,canopy_target_z
